# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	18836	18862	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	26980	27066	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	153643	153716	RP11-34P13.13_intron_2	intron	processed_transcript	chr1	149707	155766
chr1	161463	161507	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	166033	166077	RP11-34P13.13_intron_5	intron	processed_transcript	chr1	165942	168099
chr1	168924	168986	RP11-34P13.13_intron_7	intron	processed_transcript	chr1	168767	169048
chr1	170494	170730	RP11-34P13.13_intron_8	intron	processed_transcript	chr1	169264	172556
chr1	171505	171552	RP11-34P13.13_intron_8	intron	processed_transcript	chr1	169264	172556
chr1	171782	171887	RP11-34P13.13_intron_8	intron	processed_transcript	chr1	169264	172556
chr1	173689	173718	RP11-34P13.13_intron_9	intron	processed_transcript	chr1	172688	173752
chr1	161463	161507	RP11-34P13.9_exon_2	exon	lincRNA	chr1	161313	161525
chr1	330236	330436	CICP7_exon_2	exon	pseudogene	chr1	329949	332236
chr1	330609	330741	CICP7_exon_2	exon	pseudogene	chr1	329949	332236
chr1	521369	521398	RP5-857K21.1_exon_1	exon	lincRNA	chr1	521369	521738
chr1	663470	663527	RP11-206L10.1_exon_2	exon	pseudogene	chr1	663053	663527
chr1	682440	682506	RP11-206L10.3_exon_2	exon	lincRNA	chr1	682074	685396
chr1	811235	811735	FAM41C_intron_4	intron	lincRNA	chr1	810535	812125
chr1	840430	840500	RP11-54O7.16_intron_1	intron	lincRNA	chr1	840337	851129
chr1	843877	844180	RP11-54O7.16_intron_1	intron	lincRNA	chr1	840337	851129
chr1	844806	844869	RP11-54O7.16_intron_1	intron	lincRNA	chr1	840337	851129
chr1	869441	870260	SAMD11_intron_6	intron	protein_coding	chr1	866469	871151
chr1	900021	900168	KLHL17_intron_11	intron	protein_coding	chr1	899910	900342
chr1	912144	912279	C1orf170_intron_2	intron	protein_coding	chr1	912004	914260
chr1	912420	912675	C1orf170_intron_2	intron	protein_coding	chr1	912004	914260
chr1	912703	913508	C1orf170_intron_2	intron	protein_coding	chr1	912004	914260
chr1	969006	969150	AGRN_intron_2	intron	protein_coding	chr1	957842	970656
chr1	976314	976412	AGRN_intron_4	intron	protein_coding	chr1	976260	976552
chr1	984464	984560	AGRN_intron_24	intron	protein_coding	chr1	984439	984615
chr1	1000271	1000664	RP11-465B22.3_intron_7	intron	pseudogene	chr1	999969	1000731
chr1	1023519	1023763	C1orf159_intron_7	intron	protein_coding	chr1	1022977	1025732
chr1	1050897	1051060	C1orf159_intron_15	intron	protein_coding	chr1	1050455	1051439
chr1	1075181	1075426	RP11-465B22.5_intron_1	intron	lincRNA	chr1	1072490	1076204
chr1	1076486	1076970	RP11-465B22.5_intron_2	intron	lincRNA	chr1	1076412	1078118
chr1	1180139	1180679	FAM132A_intron_7	intron	protein_coding	chr1	1179877	1181893
chr1	1219421	1219470	SCNN1D_exon_5	CDS	protein_coding	chr1	1219357	1219470
chr1	1219470	1219762	SCNN1D_intron_4	intron	protein_coding	chr1	1219470	1220950
chr1	1224308	1224331	SCNN1D_intron_10	intron	protein_coding	chr1	1223417	1225650
chr1	1224419	1224484	SCNN1D_intron_10	intron	protein_coding	chr1	1223417	1225650
chr1	1251080	1251231	CPSF3L_intron_13	intron	protein_coding	chr1	1250998	1254451
chr1	1257906	1258138	CPSF3L_intron_17	intron	protein_coding	chr1	1257364	1258271
chr1	1259268	1259578	CPSF3L_intron_18	intron	protein_coding	chr1	1258667	1259960
chr1	1454010	1454053	ATAD3A_intron_5	intron	protein_coding	chr1	1453155	1454300
chr1	1475375	1475538	TMEM240_intron_3	intron	protein_coding	chr1	1475170	1475669
chr1	1565219	1565284	MIB2_intron_22	intron	protein_coding	chr1	1565084	1565671
chr1	1565541	1565616	MIB2_intron_22	intron	protein_coding	chr1	1565084	1565671
chr1	1598508	1598571	SLC35E2B_intron_1	intron	protein_coding	chr1	1597458	1599765
chr1	1855489	1855744	C1orf222_intron_4	intron	protein_coding	chr1	1855368	1855829
chr1	1860794	1860818	C1orf222_intron_12	intron	protein_coding	chr1	1860321	1861498
chr1	1900646	1900767	C1orf222_intron_27	intron	protein_coding	chr1	1897965	1919400
chr1	1920303	1920327	C1orf222_intron_29	intron	protein_coding	chr1	1920094	1920327
chr1	2053605	2053920	PRKCZ_intron_14	intron	protein_coding	chr1	2047749	2065076
chr1	2054019	2054298	PRKCZ_intron_14	intron	protein_coding	chr1	2047749	2065076
chr1	2054809	2054991	PRKCZ_intron_14	intron	protein_coding	chr1	2047749	2065076
chr1	2055246	2055363	PRKCZ_intron_14	intron	protein_coding	chr1	2047749	2065076
chr1	2055433	2055544	PRKCZ_intron_14	intron	protein_coding	chr1	2047749	2065076
chr1	2101153	2101258	PRKCZ_intron_24	intron	protein_coding	chr1	2101043	2103493
chr1	2106834	2106903	PRKCZ_intron_29	intron	protein_coding	chr1	2106752	2116021
chr1	2212918	2212994	SKI_intron_1	intron	protein_coding	chr1	2161174	2234416
chr1	2220973	2221016	SKI_intron_1	intron	protein_coding	chr1	2161174	2234416
chr1	2241116	2241253	SKI_UTR_2	three_prime_UTR	protein_coding	chr1	2238204	2241558
chr1	2381958	2382201	PLCH2_intron_2	intron	protein_coding	chr1	2362068	2398897
chr1	2393552	2393802	PLCH2_intron_2	intron	protein_coding	chr1	2362068	2398897
chr1	2432199	2432331	PLCH2_intron_23	intron	protein_coding	chr1	2431159	2433550
chr1	2523761	2524047	MMEL1_intron_3	intron	protein_coding	chr1	2523466	2524093
chr1	2572498	2572660	TTC34_intron_2	intron	protein_coding	chr1	2571599	2572772
chr1	2684220	2684245	TTC34_intron_5	intron	protein_coding	chr1	2577002	2700153
chr1	2714715	2714739	TTC34_intron_9	intron	protein_coding	chr1	2706280	2717335
chr1	3067446	3067558	PRDM16_intron_1	intron	protein_coding	chr1	2985860	3102688
chr1	3084218	3084241	PRDM16_intron_1	intron	protein_coding	chr1	2985860	3102688
chr1	3084624	3084795	PRDM16_intron_1	intron	protein_coding	chr1	2985860	3102688
chr1	3268126	3268160	PRDM16_intron_3	intron	protein_coding	chr1	3160701	3301712
chr1	3296240	3296272	PRDM16_intron_3	intron	protein_coding	chr1	3160701	3301712
chr1	3391737	3391913	ARHGEF16_intron_10	intron	protein_coding	chr1	3391346	3392533
chr1	3393828	3393867	ARHGEF16_intron_11	intron	protein_coding	chr1	3392626	3394438
chr1	3504539	3505090	MEGF6_intron_35	intron	protein_coding	chr1	3496493	3511901
chr1	6012632	6012666	NPHP4_intron_23	intron	protein_coding	chr1	6008311	6012759
chr1	6065129	6065419	KCNAB2_intron_2	intron	protein_coding	chr1	6052848	6078694
chr1	6066250	6066300	KCNAB2_intron_2	intron	protein_coding	chr1	6052848	6078694
chr1	6066530	6066625	KCNAB2_intron_2	intron	protein_coding	chr1	6052848	6078694
chr1	6072415	6072442	KCNAB2_intron_2	intron	protein_coding	chr1	6052848	6078694
chr1	6414756	6414822	ACOT7_intron_10	intron	protein_coding	chr1	6412309	6418885
chr1	7289518	7289660	CAMTA1_intron_7	intron	protein_coding	chr1	7151431	7309550
