# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	108401765	108405400	NBPF5P_intron_9	intron	transcribed_unprocessed_pseudogene	chr1	108385960	108410503
chr1	108405537	108405575	NBPF5P_intron_9	intron	transcribed_unprocessed_pseudogene	chr1	108385960	108410503
chr1	108401765	108405400	SLC25A24P2_intron_1	intron	unprocessed_pseudogene	chr1	108383894	108410027
chr1	108405537	108405575	SLC25A24P2_intron_1	intron	unprocessed_pseudogene	chr1	108383894	108410027
chr1	120295209	120295324	ENSG00000274642_intron_4	intron	unprocessed_pseudogene	chr1	120278036	120319190
chr1	120295354	120295531	ENSG00000274642_intron_4	intron	unprocessed_pseudogene	chr1	120278036	120319190
chr1	120295209	120295324	ENSG00000223804_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	120267838	120336868
chr1	120295354	120295531	ENSG00000223804_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	120267838	120336868
chr1	144179777	144180205	ENSG00000275767_exon_1	exon	unprocessed_pseudogene	chr1	144179777	144180205
chr1	144180205	144193189	ENSG00000275767_intron_1	intron	unprocessed_pseudogene	chr1	144180205	144193189
chr1	144193189	144193322	ENSG00000275767_exon_2	exon	unprocessed_pseudogene	chr1	144193189	144193322
chr1	144193322	144193618	ENSG00000275767_intron_2	intron	unprocessed_pseudogene	chr1	144193322	144193618
chr1	144193618	144193656	ENSG00000275767_exon_3	exon	unprocessed_pseudogene	chr1	144193618	144193656
chr1	144193656	144196324	ENSG00000275767_intron_3	intron	unprocessed_pseudogene	chr1	144193656	144196324
chr1	144196340	144197819	ENSG00000275767_intron_4	intron	unprocessed_pseudogene	chr1	144196340	144197819
chr1	144197819	144197945	ENSG00000275767_exon_5	exon	unprocessed_pseudogene	chr1	144197819	144197945
chr1	144197945	144202413	ENSG00000275767_intron_5	intron	unprocessed_pseudogene	chr1	144197945	144202413
chr1	144202413	144203361	ENSG00000275767_exon_6	exon	unprocessed_pseudogene	chr1	144202413	144203361
chr1	144203361	144211558	ENSG00000275767_intron_6	intron	unprocessed_pseudogene	chr1	144203361	144211558
chr1	144211558	144211729	ENSG00000275767_exon_7	exon	unprocessed_pseudogene	chr1	144211558	144211729
chr1	144227029	144227379	LINC02802_exon_1	exon	lncRNA	chr1	144227029	144227379
chr1	144227379	144245026	LINC02802_intron_1	intron	lncRNA	chr1	144227379	144245026
chr1	144245026	144245315	LINC02802_exon_2	exon	lncRNA	chr1	144245026	144245315
chr1	144245315	144245685	LINC02802_intron_2	intron	lncRNA	chr1	144245315	144245685
chr1	144245685	144245821	LINC02802_exon_3	exon	lncRNA	chr1	144245685	144245821
chr1	144245821	144250224	LINC02802_intron_3	intron	lncRNA	chr1	144245821	144250224
chr1	144250224	144250326	LINC02802_exon_4	exon	lncRNA	chr1	144250224	144250326
chr1	144265217	144265326	RNA5SP529_exon_1	exon	rRNA	chr1	144265217	144265326
chr1	144276484	144276584	KMT2CP2_exon_1	exon	transcribed_unprocessed_pseudogene	chr1	144276484	144276584
chr1	144276584	144286846	KMT2CP2_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	144276584	144286846
chr1	144286846	144287075	KMT2CP2_exon_2	exon	transcribed_unprocessed_pseudogene	chr1	144286846	144287075
chr1	144287075	144288342	KMT2CP2_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	144287075	144288342
chr1	144288342	144288407	KMT2CP2_exon_3	exon	transcribed_unprocessed_pseudogene	chr1	144288342	144288407
chr1	144288407	144288915	KMT2CP2_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	144288407	144288915
chr1	144288915	144289025	KMT2CP2_exon_4	exon	transcribed_unprocessed_pseudogene	chr1	144288915	144289025
chr1	144289025	144290006	KMT2CP2_intron_4	intron	transcribed_unprocessed_pseudogene	chr1	144289025	144290006
chr1	144290006	144290133	KMT2CP2_exon_5	exon	transcribed_unprocessed_pseudogene	chr1	144290006	144290133
chr1	144290133	144290366	KMT2CP2_intron_5	intron	transcribed_unprocessed_pseudogene	chr1	144290133	144290366
chr1	144290366	144290531	KMT2CP2_exon_6	exon	transcribed_unprocessed_pseudogene	chr1	144290366	144290531
chr1	144290531	144290786	KMT2CP2_intron_6	intron	transcribed_unprocessed_pseudogene	chr1	144290531	144290786
chr1	144290786	144290968	KMT2CP2_exon_7	exon	transcribed_unprocessed_pseudogene	chr1	144290786	144290968
chr1	144290968	144296243	KMT2CP2_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	144290968	144296243
chr1	144296243	144296348	KMT2CP2_exon_8	exon	transcribed_unprocessed_pseudogene	chr1	144296243	144296348
chr1	144296348	144296540	KMT2CP2_intron_8	intron	transcribed_unprocessed_pseudogene	chr1	144296348	144296540
chr1	144296540	144296642	KMT2CP2_exon_9	exon	transcribed_unprocessed_pseudogene	chr1	144296540	144296642
chr1	144296642	144302174	KMT2CP2_intron_9	intron	transcribed_unprocessed_pseudogene	chr1	144296642	144302174
chr1	144302174	144302291	KMT2CP2_exon_10	exon	transcribed_unprocessed_pseudogene	chr1	144302174	144302291
chr1	144302291	144302490	KMT2CP2_intron_10	intron	transcribed_unprocessed_pseudogene	chr1	144302291	144302490
chr1	144302490	144302541	KMT2CP2_exon_11	exon	transcribed_unprocessed_pseudogene	chr1	144302490	144302541
chr1	144302541	144305058	KMT2CP2_intron_11	intron	transcribed_unprocessed_pseudogene	chr1	144302541	144305058
chr1	144305058	144305180	KMT2CP2_exon_12	exon	transcribed_unprocessed_pseudogene	chr1	144305058	144305180
chr1	144372875	144373089	PPIAL4E_UTR_1	three_prime_UTR	protein_coding	chr1	144372875	144373089
chr1	144373089	144373584	PPIAL4E_exon_1	CDS	protein_coding	chr1	144373089	144373584
chr1	144373584	144373633	PPIAL4E_UTR_2	five_prime_UTR	protein_coding	chr1	144373584	144373634
chr1	144592893	144592942	PPIAL4F_UTR_1	five_prime_UTR	protein_coding	chr1	144592893	144592942
chr1	144592942	144593437	PPIAL4F_exon_1	CDS	protein_coding	chr1	144592942	144593437
chr1	144593437	144593651	PPIAL4F_UTR_2	three_prime_UTR	protein_coding	chr1	144593437	144593652
chr1	144647583	144796499	ENSG00000224363_intron_2	intron	lncRNA	chr1	144641793	144917169
chr1	144701050	144701159	RNA5SP59_exon_1	exon	rRNA_pseudogene	chr1	144701050	144701159
chr1	144754572	144754832	ENSG00000273825_exon_1	exon	unprocessed_pseudogene	chr1	144754572	144754832
chr1	144754832	144763029	ENSG00000273825_intron_1	intron	unprocessed_pseudogene	chr1	144754832	144763029
chr1	144763029	144763977	ENSG00000273825_exon_2	exon	unprocessed_pseudogene	chr1	144763029	144763977
chr1	144763977	144768447	ENSG00000273825_intron_2	intron	unprocessed_pseudogene	chr1	144763977	144768447
chr1	144768447	144768573	ENSG00000273825_exon_3	exon	unprocessed_pseudogene	chr1	144768447	144768573
chr1	144768573	144773070	ENSG00000273825_intron_3	intron	unprocessed_pseudogene	chr1	144768573	144773070
chr1	144773070	144773207	ENSG00000273825_exon_4	exon	unprocessed_pseudogene	chr1	144773070	144773207
chr1	144773207	144786186	ENSG00000273825_intron_4	intron	unprocessed_pseudogene	chr1	144773207	144786186
chr1	144786186	144786606	ENSG00000273825_exon_5	exon	unprocessed_pseudogene	chr1	144786186	144786606
chr1	145328996	145329705	NBPF20_intron_48	intron	protein_coding	chr1	145328996	145329705
chr1	145329705	145329878	NBPF20_exon_49	CDS	protein_coding	chr1	145329705	145329878
chr1	145329882	145330485	NBPF20_intron_49	intron	protein_coding	chr1	145329878	145330485
chr1	145330485	145330537	NBPF20_exon_50	CDS	protein_coding	chr1	145330485	145330537
chr1	145330537	145331256	NBPF20_intron_50	intron	protein_coding	chr1	145330537	145331256
chr1	145331256	145331429	NBPF20_exon_51	CDS	protein_coding	chr1	145331256	145331429
chr1	145331429	145332057	NBPF20_intron_51	intron	protein_coding	chr1	145331429	145332057
chr1	145332057	145332166	NBPF20_exon_52	CDS	protein_coding	chr1	145332057	145332166
chr1	145332166	145332880	NBPF20_intron_52	intron	protein_coding	chr1	145332166	145332880
chr1	145332880	145333053	NBPF20_exon_53	CDS	protein_coding	chr1	145332880	145333053
chr1	145333053	145333697	NBPF20_intron_53	intron	protein_coding	chr1	145333053	145333697
chr1	145333697	145333749	NBPF20_exon_54	CDS	protein_coding	chr1	145333697	145333749
chr1	145333749	145334458	NBPF20_intron_54	intron	protein_coding	chr1	145333749	145334458
chr1	145334458	145334631	NBPF20_exon_55	CDS	protein_coding	chr1	145334458	145334631
chr1	145334631	145335241	NBPF20_intron_55	intron	protein_coding	chr1	145334631	145335241
chr1	145335241	145335293	NBPF20_exon_56	CDS	protein_coding	chr1	145335241	145335293
chr1	145335293	145336012	NBPF20_intron_56	intron	protein_coding	chr1	145335293	145336012
chr1	145336012	145336185	NBPF20_exon_57	CDS	protein_coding	chr1	145336012	145336185
chr1	145336185	145336813	NBPF20_intron_57	intron	protein_coding	chr1	145336185	145336813
chr1	145336813	145336922	NBPF20_exon_58	CDS	protein_coding	chr1	145336813	145336922
chr1	145336922	145337636	NBPF20_intron_58	intron	protein_coding	chr1	145336922	145337636
chr1	145337809	145338453	NBPF20_intron_59	intron	protein_coding	chr1	145337809	145338453
chr1	145338453	145338505	NBPF20_exon_60	CDS	protein_coding	chr1	145338453	145338505
chr1	145338505	145339214	NBPF20_intron_60	intron	protein_coding	chr1	145338505	145339214
chr1	145339214	145339387	NBPF20_exon_61	CDS	protein_coding	chr1	145339214	145339387
chr1	145339387	145339995	NBPF20_intron_61	intron	protein_coding	chr1	145339387	145339995
chr1	145339995	145340047	NBPF20_exon_62	CDS	protein_coding	chr1	145339995	145340047
chr1	145340047	145340766	NBPF20_intron_62	intron	protein_coding	chr1	145340047	145340766
chr1	145340766	145340939	NBPF20_exon_63	CDS	protein_coding	chr1	145340766	145340939
chr1	145341563	145341672	NBPF20_exon_64	CDS	protein_coding	chr1	145341563	145341672
chr1	145341672	145342386	NBPF20_intron_64	intron	protein_coding	chr1	145341672	145342386
chr1	145342386	145342559	NBPF20_exon_65	CDS	protein_coding	chr1	145342386	145342559
chr1	145342559	145343106	NBPF20_intron_65	intron	protein_coding	chr1	145342559	145343207
chr1	146288596	146288696	RNU6-1071P_exon_1	exon	snRNA	chr1	146288596	146288696
chr1	146298170	146298715	NUDT4P2_exon_1	exon	processed_pseudogene	chr1	146298170	146298715
chr1	148739379	148739479	RNU6-1171P_exon_1	exon	snRNA	chr1	148739379	148739479
chr1	148748953	148749498	NUDT4B_exon_1	CDS	protein_coding	chr1	148748952	148749498
chr1	228619250	228619350	RNA5S5_exon_1	exon	rRNA	chr1	228619232	228619350
chr1	228621447	228621565	RNA5S6_exon_1	exon	rRNA	chr1	228621447	228621565
chr1	228623667	228623785	RNA5S7_exon_1	exon	rRNA	chr1	228623667	228623785
